產品,作業系統與版本,處理器品牌,處理器型號,處理器時脈,處理器核心數,圖形處理器,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,最大通話時間,主螢幕尺寸,主螢幕解析度,主螢幕材質,主螢幕觸控,主相機畫素,主相機感光元件,主相機光圈F,主相機等效焦距,主相機LED補光燈,主相機自動對焦,主相機UHD 4K錄影,第二主相機畫素,第二主相機感光元件,第二主相機光圈F,第二主相機等效焦距,第三主相機畫素,第三主相機感光元件,第三主相機光圈F,前相機畫素,前相機感光元件,前相機光圈F,前相機等效焦距,4G FDD LTE,4G TDD LTE,3G頻率,2G頻率,4G LTE,VoLTE,SIM Card類型,SIM卡槽數,SIM卡槽設計,SIM1,SIM2,Wi-Fi,IEEE 802.11傳輸速度,NFC,藍牙,藍牙版本,衛星定位,快充技術,陀螺儀,加速度感應器,指紋辨識器,機身長度,機身寬度,機身厚度,機身重量,傳輸埠,麥克風,3.5mm耳機孔,機身顏色,裝置分類,第四主相機畫素,第四主相機感光元件,第四主相機光圈F,快充功率,主相機光學防手震,RAW檔拍攝,第三主相機等效焦距,前相機自動對焦,前相機UHD 4K錄影,LTE Cat.,CA載波聚合,SIM卡槽或記憶卡擇一,無線充電,防水防塵等級,內建觸控筆,第二前相機畫素,第二前相機感光元件,第二前相機光圈F,心跳感測器,最大待機時間,前相機LED補光燈,副螢幕尺寸,副螢幕解析度,副螢幕材質,副螢幕觸控,封面相機畫素,封面相機感光元件,封面相機光圈F,高度氣壓感測器,CA支援頻段組合,紅外線,5G連網,第二前相機等效焦距,可替換電池
SAMSUNG Galaxy A70,Android 9.0,Qualcomm,Snapdragon 675,2+1.7 GHz,8,Adreno 612,6 GB,128 GB,microSD,512 GB,4500 mAh,28 hr,6.7 inch,2400x1080 pixels,Super AMOLED,Yes,3200 萬畫素,CMOS,1.7,26 mm,Yes,Yes,Yes,800 萬畫素,CMOS,2.2,12 mm,500 萬畫素,CMOS,2.2,3200 萬畫素,CMOS,2.0,26 mm,"1800(B3), 2100(B1), 2600(B7), 700(B28), 850(B5), 900(B8)","1900(B39), 2100(B34), 2300(B40), 2500(B41), 2600(B38)","HSDPA, HSUPA, WCDMA","GSM 1800, GSM 1900, GSM 850, GSM 900",Yes,Yes,nano-SIM,2,4G+4G,"2G, 3G, 4G","2G, 3G, 4G",Yes,"a, ac, b, g, n, n(2.4GHz), n(5GHz)",Yes,Yes,5.0,"A-GPS, BeiDou, GLONASS, GPS",Super Fast Charging,Yes,Yes,Yes,164.3 mm,76.6 mm,7.9 mm,183 g,"USB 2.0, USB OTG, USB Type-C",Yes,Yes,"幻彩白, 幻彩黑, 幻水藍",雙卡雙待機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMSUNG Galaxy A51,Android 9.0,SAMSUNG,Exynos 9611,2.3+1.7 GHz,8,Mali-G72,6 GB,128 GB,microSD,512 GB,4000 mAh,,6.5 inch,2400x1080 pixels,Super AMOLED,Yes,4800 萬畫素,CMOS,2.0,25 mm,Yes,Yes,Yes,1200 萬畫素,CMOS,2.2,13 mm,500 萬畫素,CMOS,2.2,3200 萬畫素,CMOS,2.2,31 mm,"1700(B4), 1700(B66), 1800(B3), 1900(B2), 2100(B1), 2600(B7), 700(B12), 700(B13), 700(B17), 700(B28), 800(B20), 850(B26), 850(B5), 900(B8)","2300(B40), 2500(B41), 2600(B38)","HSDPA, HSUPA, WCDMA","GSM 1800, GSM 1900, GSM 850, GSM 900",Yes,Yes,nano-SIM,2,4G+4G,"2G, 3G, 4G","2G, 3G, 4G",Yes,"a, ac, b, g, n, n(2.4GHz), n(5GHz)",Yes,Yes,5.0,"A-GPS, BeiDou, GLONASS, GPS",FlashCharge,Yes,Yes,Yes,158.5 mm,73.6 mm,7.9 mm,172 g,"USB 2.0, USB OTG, USB Type-C",Yes,Yes,"晶礦白, 晶礦藍, 晶礦黑",雙卡雙待機,500 萬畫素,CMOS,2.4,15 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMSUNG Galaxy A50,Android 9.0,SAMSUNG,Exynos 9610,2.3+1.7 GHz,8,Mali-G72 MP3,6 GB,128 GB,microSD,512 GB,4000 mAh,,6.4 inch,2340x1080 pixels,Super AMOLED,Yes,2500 萬畫素,CMOS,1.7,26 mm,Yes,Yes,,800 萬畫素,CMOS,2.2,13 mm,500 萬畫素,CMOS,2.2,2500 萬畫素,CMOS,2.0,25 mm,"1700(B4), 1700(B66), 1800(B3), 1900(B2), 2100(B1), 2600(B7), 700(B12), 700(B13), 700(B17), 700(B28), 800(B20), 850(B26), 850(B5), 900(B8)","2300(B40), 2500(B41), 2600(B38)","HSDPA, HSUPA, WCDMA","GSM 1800, GSM 1900, GSM 850, GSM 900",Yes,Yes,nano-SIM,2,4G+4G,"2G, 3G, 4G","2G, 3G, 4G",Yes,"a, ac, b, g, n, n(2.4GHz), n(5GHz)",Yes,Yes,5.0,"A-GPS, BeiDou, GLONASS, GPS",Super Fast Charging,Yes,Yes,Yes,158.5 mm,74.7 mm,7.7 mm,166 g,"USB 2.0, USB OTG, USB Type-C",Yes,Yes,"幻彩白, 幻彩藍, 幻彩黑",雙卡雙待機,,,,15 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMSUNG Galaxy Note 10+ 256GB,Android 9.0,Qualcomm,Snapdragon 855,2.8+2.4+1.7 GHz,8,Adreno 640,12 GB,256 GB,microSD,1 TB,4300 mAh,,6.8 inch,3040x1440 pixels,Dynamic AMOLED,Yes,1200 萬畫素,CMOS,1.5,,Yes,Yes,Yes,1200 萬畫素,CMOS,2.1,26 mm,1600 萬畫素,CMOS,2.2,1000 萬畫素,CMOS,2.2,31 mm,"1700(B4), 1800(B3), 1900(B2), 1900(B25), 2100(B1), 2600(B7), 700(B12), 700(B13), 700(B28), 800(B18), 800(B19), 800(B20), 850(B26), 850(B5), 900(B8)","1900(B39), 2100(B34), 2300(B40), 2500(B41), 2600(B38)","HSDPA, HSUPA, WCDMA",,Yes,Yes,nano-SIM,2,4G+4G,"2G, 3G, 4G","2G, 3G, 4G",Yes,"a, ac, ax, b, g, n, n(2.4GHz), n(5GHz)",Yes,Yes,5.0,"A-GPS, BeiDou, GLONASS, GPS","PD 3.0, QC 2.0",Yes,Yes,Yes,162.3 mm,77.2 mm,7.9 mm,196 g,"USB OTG, USB Type-C",Yes,,"星環白, 星環藍, 星環銀, 星環黑",雙卡雙待機,30 萬畫素,CMOS,,,Yes,Yes,13 mm,Yes,Yes,18,Yes,Yes,Yes,IP68,Yes,,,,,,,,,,,,,,,,,,
SAMSUNG Galaxy A20,Android 9.0,SAMSUNG,Exynos 7884,1.6+1.35 GHz,8,Mali-G51,3 GB,32 GB,microSD,512 GB,4000 mAh,,6.4 inch,1560x720 pixels,Super AMOLED,Yes,1300 萬畫素,CMOS,1.9,27 mm,Yes,Yes,,500 萬畫素,CMOS,2.2,13 mm,,,,800 萬畫素,CMOS,2.0,25 mm,"1700(B4), 1700(B66), 1800(B3), 2100(B1), 2600(B7), 700(B12), 700(B13), 700(B17), 700(B28), 800(B20), 850(B5), 900(B8)","2300(B40), 2500(B41), 2600(B38)","HSDPA, HSUPA, WCDMA","GSM 1800, GSM 1900, GSM 850, GSM 900",Yes,Yes,nano-SIM,2,4G+4G,"2G, 3G, 4G","2G, 3G, 4G",Yes,"b, g, n, n(2.4GHz)",Yes,Yes,5.0,"A-GPS, BeiDou, GLONASS, GPS",,Yes,Yes,Yes,158.4 mm,74.7 mm,7.8 mm,169 g,"USB 2.0, USB OTG, USB Type-C",Yes,Yes,"鏡面橘, 鏡面藍, 鏡面黑",雙卡雙待機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMSUNG Galaxy Note 10,Android 9.0,Qualcomm,Snapdragon 855,2.8+2.4+1.7 GHz,8,Adreno 640,8 GB,256 GB,,,3500 mAh,,6.3 inch,2280x1080 pixels,Dynamic AMOLED,Yes,1200 萬畫素,CMOS,1.5,,Yes,Yes,Yes,1200 萬畫素,CMOS,2.1,26 mm,1600 萬畫素,CMOS,2.2,1000 萬畫素,CMOS,2.2,31 mm,"1700(B4), 1800(B3), 1900(B2), 1900(B25), 2100(B1), 2600(B7), 700(B12), 700(B13), 700(B28), 800(B18), 800(B19), 800(B20), 850(B26), 850(B5), 900(B8)","1900(B39), 2100(B34), 2300(B40), 2500(B41), 2600(B38)","HSDPA, HSUPA, WCDMA",,Yes,Yes,nano-SIM,2,4G+4G,"2G, 3G, 4G","2G, 3G, 4G",Yes,"a, ac, ax, b, g, n, n(2.4GHz), n(5GHz)",Yes,Yes,5.0,"A-GPS, BeiDou, GLONASS, GPS","PD 3.0, QC 2.0",Yes,Yes,Yes,151 mm,71.8 mm,7.9 mm,168 g,"USB OTG, USB Type-C",Yes,,"星環白, 星環銀",雙卡雙待機,,,,,Yes,Yes,13 mm,Yes,Yes,18,Yes,,Yes,IP68,Yes,,,,,,,,,,,,,,,,,,
SAMSUNG Galaxy S10+,Android 9.0,SAMSUNG,Exynos 9820,2.7+2.3+1.9 GHz,8,Mali-G76 MP12,8 GB,128 GB,microSD,512 GB,4100 mAh,,6.4 inch,3040x1440 pixels,Dynamic AMOLED,Yes,1200 萬畫素,CMOS,1.5,,Yes,Yes,Yes,1200 萬畫素,CMOS,2.4,26 mm,1600 萬畫素,CMOS,2.2,1000 萬畫素,CMOS,1.9,25 mm,"1700(B10), 1700(B4), 1700(B66), 1800(B3), 1900(B25), 2100(B1), 2600(B7), 700(B28), 800(B18), 800(B19), 800(B20), 800(B6), 850(B5), 900(B8)","1900(B39), 2300(B40), 2500(B41), 2600(B38)","HSDPA, HSUPA, WCDMA","GSM 1800, GSM 1900, GSM 850, GSM 900",Yes,Yes,nano-SIM,2,4G+4G,"2G, 3G, 4G","2G, 3G, 4G",Yes,"a, ac, ax, b, g, n, n(2.4GHz), n(5GHz)",Yes,Yes,5.0,"A-GPS, BeiDou, GLONASS, GPS",QC 2.0,Yes,Yes,Yes,157.6 mm,74.1 mm,7.8 mm,175 g,"USB OTG, USB Type-C",Yes,Yes,"絢光白, 絢光綠, 絢光黑",雙卡雙待機,,,,,Yes,Yes,13 mm,Yes,Yes,20,Yes,Yes,Yes,IP68,,800 萬畫素,CMOS,2.2,Yes,,,,,,,,,,,,,,
SAMSUNG Galaxy S10,Android 9.0,SAMSUNG,Exynos 9820,2.7+2.3+1.9 GHz,8,Mali-G76 MP12,8 GB,128 GB,microSD,512 GB,3400 mAh,,6.1 inch,3040x1440 pixels,Dynamic AMOLED,Yes,1200 萬畫素,CMOS,1.5,,Yes,Yes,Yes,1200 萬畫素,CMOS,2.4,26 mm,1600 萬畫素,CMOS,2.2,1000 萬畫素,CMOS,1.9,25 mm,"1700(B10), 1700(B4), 1700(B66), 1800(B3), 1900(B25), 2100(B1), 2600(B7), 700(B28), 800(B18), 800(B19), 800(B20), 800(B6), 850(B5), 900(B8)","1900(B39), 2300(B40), 2500(B41), 2600(B38)","HSDPA, HSUPA, WCDMA","GSM 1800, GSM 1900, GSM 850, GSM 900",Yes,Yes,nano-SIM,2,4G+4G,"2G, 3G, 4G","2G, 3G, 4G",Yes,"a, ac, ax, b, g, n, n(2.4GHz), n(5GHz)",Yes,Yes,5.0,"A-GPS, BeiDou, GLONASS, GPS",QC 2.0,Yes,Yes,Yes,149.9 mm,70.4 mm,7.8 mm,157 g,"USB OTG, USB Type-C",Yes,Yes,"絢光白, 絢光綠, 絢光黑",雙卡雙待機,,,,,Yes,Yes,13 mm,Yes,Yes,20,Yes,Yes,Yes,IP68,,,,,Yes,,,,,,,,,,,,,,
SAMSUNG Galaxy S10e,Android 9.0,SAMSUNG,Exynos 9820,2.7+2.3+1.9 GHz,8,Mali-G76 MP12,6 GB,128 GB,microSD,512 GB,3100 mAh,,5.8 inch,2280x1080 pixels,Dynamic AMOLED,Yes,1200 萬畫素,CMOS,1.5,,Yes,Yes,Yes,1600 萬畫素,CMOS,2.2,,,,,1000 萬畫素,CMOS,1.9,25 mm,"1700(B10), 1700(B4), 1700(B66), 1800(B3), 1900(B25), 2100(B1), 2600(B7), 700(B28), 800(B18), 800(B19), 800(B20), 800(B6), 850(B5), 900(B8)","1900(B39), 2300(B40), 2500(B41), 2600(B38)","HSDPA, HSUPA, WCDMA","GSM 1800, GSM 1900, GSM 850, GSM 900",Yes,Yes,nano-SIM,2,4G+4G,"2G, 3G, 4G","2G, 3G, 4G",Yes,"a, ac, ax, b, g, n, n(2.4GHz), n(5GHz)",,Yes,5.0,"A-GPS, BeiDou, GLONASS, GPS",QC 2.0,Yes,Yes,Yes,142.2 mm,69.9 mm,7.9 mm,150 g,"USB OTG, USB Type-C",Yes,Yes,"絢光白, 絢光綠, 絢光黑",雙卡雙待機,,,,,Yes,,,Yes,Yes,20,,Yes,Yes,IP68,,,,,,,,,,,,,,,,,,,
SAMSUNG Galaxy A60,Android 9.0,Qualcomm,Snapdragon 675,2+1.7 GHz,8,Adreno 612,6 GB,128 GB,microSD,512 GB,3500 mAh,,6.3 inch,2340x1080 pixels,PLS,Yes,3200 萬畫素,CMOS,1.7,26 mm,Yes,Yes,Yes,800 萬畫素,CMOS,2.2,12 mm,500 萬畫素,CMOS,2.2,1600 萬畫素,CMOS,2.0,26 mm,"1800(B3), 2100(B1), 2600(B7), 700(B28), 850(B5), 900(B8)","1900(B39), 2100(B34), 2300(B40), 2500(B41), 2600(B38)","CDMA2000, HSDPA, HSUPA, TD-SCDMA, WCDMA","GSM 1800, GSM 1900, GSM 850, GSM 900",Yes,Yes,nano-SIM,2,4G+4G,"2G, 3G, 4G","2G, 3G, 4G",Yes,"a, ac, b, g, n, n(2.4GHz), n(5GHz)",Yes,Yes,5.0,"A-GPS, BeiDou, GLONASS, GPS",Super Fast Charging,Yes,Yes,Yes,155.2 mm,73.9 mm,7.9 mm,168 g,"USB 2.0, USB OTG, USB Type-C",Yes,,"炫冰藍, 炫紫黑",雙卡雙待機,,,,,,,,,,,,Yes,,,,,,,,13.79 day,,,,,,,,,,,,,
